procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  0      0 13110856 532144 817744    0    0     0  6708 14516 24141  5  4 88  3  0  0 2026-09-08 15:06:18
 1  0      0 13115080 532428 817796    0    0     0  7740 36340 67629  3  7 87  2  0  0 2026-09-08 15:06:19
 0  0      0 13118276 532632 817840    0    0     0  4928 23810 43266  2  6 90  3  0  0 2026-09-08 15:06:20
 1  1      0 13061908 533020 847920    0    0     0  5692 17656 29167  3  5 89  4  0  0 2026-09-08 15:06:21
 2  1      0 13050808 534000 850028    0    0    16 15628 43654 75613  8 12 72  8  0  0 2026-09-08 15:06:22
 0  2      0 13043732 535056 853588    0    0     0 17084 42873 74271  8 11 72  9  0  0 2026-09-08 15:06:23
 1  1      0 13038192 536140 856004    0    0     0 17028 44114 76688  9 11 72  9  0  0 2026-09-08 15:06:24
 7  0      0 13035924 537116 857452    0    0     0 17544 43258 74805  8 11 72  9  0  0 2026-09-08 15:06:25
 2  1      0 13031896 538088 858716    0    0     0 18852 43693 75645  9 11 70  9  0  0 2026-09-08 15:06:26
 9  1      0 13028620 539168 859800    0    0     0 17624 36830 63848  8  9 74  9  0  0 2026-09-08 15:06:27
 2  1      0 13026212 540156 861228    0    0    16 18480 45130 78674 10 11 70  9  0  0 2026-09-08 15:06:28
 1  2      0 13021840 541256 865740    0    0     0 21552 44401 76924 10 12 70  9  0  0 2026-09-08 15:06:29
 4  1      0 13020460 542276 867052    0    0     0 18100 43789 75842  9 12 70  9  0  0 2026-09-08 15:06:30
 3  1      0 13017692 543200 868408    0    0    28 17264 42135 72565 11 12 68  8  0  0 2026-09-08 15:06:31
 1  0      0 13014436 544192 870772    0    0     0 19220 45329 78913 10 13 68  9  0  0 2026-09-08 15:06:32
 7  1      0 13010624 545248 874208    0    0     0 20336 44226 76715  9 12 70  9  0  0 2026-09-08 15:06:33
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 13004340 546224 875536    0    0     0 17896 43298 75104  9 11 70  9  0  0 2026-09-08 15:06:34
 3  1      0 13002252 547316 877912    0    0     0 19472 44234 76775 10 12 69  9  0  0 2026-09-08 15:06:35
 3  1      0 12998068 548356 881376    0    0     0 20616 44406 77067 11 12 69  9  0  0 2026-09-08 15:06:36
 3  1      0 12994120 549272 882632    0    0     0 17640 42498 73271 13 13 66  8  0  0 2026-09-08 15:06:37
 1  1      0 12991232 550340 884016    0    0     0 18888 44076 76740  9 10 72  9  0  0 2026-09-08 15:06:38
 3  2      0 12989104 551348 885300    0    0     0 19088 43730 75680  9 11 71  9  0  0 2026-09-08 15:06:39
 1  1      0 12987088 552376 886644    0    0     0 18248 43121 74610 10 11 70  9  0  0 2026-09-08 15:06:40
 5  1      0 13068216 553404 859168    0    0     0 19744 41208 71345  9 11 71  9  0  0 2026-09-08 15:06:41
 0  1      0 13071596 554312 860152    0    0     0 16140 16799 27162  4  6 81  9  0  0 2026-09-08 15:06:42
 5  1      0 13071388 555328 861268    0    0     0 16436 18181 28964  4  6 81  8  0  0 2026-09-08 15:06:43
 6  1      0 13069432 556644 862248    0    0     0 16852 17585 28141  5  7 79  9  0  0 2026-09-08 15:06:44
 6  1      0 13067252 557620 863304    0    0     0 16784 17849 28395  5  6 80  9  0  0 2026-09-08 15:06:45
 5  1      0 13066076 558292 864068    0    0     0 12000 11036 16662  4  4 87  5  0  0 2026-09-08 15:06:46
 1  2      0 13063804 558612 865596    0    0     0  9920 6354 8771  3  2 92  3  0  0 2026-09-08 15:06:47
 2  0      0 13011200 558876 865748    0    0     0  7228 9681 14883  6  6 85  3  0  0 2026-09-08 15:06:48
 1  1      0 12904192 559124 865760    0    0     0  6772 8973 12927 15  6 77  2  0  0 2026-09-08 15:06:49
 2  1      0 13019860 559380 865740    0    0     0  6740 23529 42060  3  7 88  3  0  0 2026-09-08 15:06:50
 0  1      0 13019860 559556 865756    0    0     0  5140 34727 64387  4  8 87  1  0  0 2026-09-08 15:06:51
 0  1      0 13020192 559924 865820    0    0     0  6132 14872 25571  1  4 91  3  0  0 2026-09-08 15:06:52
 2  2      0 12973584 560292 895464    0    0     0  5664 18663 30460  4  5 87  4  0  0 2026-09-08 15:06:53
 1  2      0 12965000 561264 897628    0    0     0 14368 41359 71192 10 13 70  8  0  0 2026-09-08 15:06:54
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  2      0 12962696 562260 899100    0    0     0 14868 42679 73896 12 12 68  8  0  0 2026-09-08 15:06:55
 0  1      0 12960180 563276 903600    0    0  3184 15732 41331 71535  9 10 73  8  0  0 2026-09-08 15:06:56
 0  2      0 12956656 564296 904832    0    0     0 18520 41520 71695  9 11 71  9  0  0 2026-09-08 15:06:57
 0  1      0 12953620 565388 907168    0    0     0 19576 40936 70929  8 11 72  9  0  0 2026-09-08 15:06:58
 2  1      0 12948572 566376 909704    0    0    16 20040 41889 72376  8 11 72  9  0  0 2026-09-08 15:06:59
 0  1      0 12944780 567368 912040    0    0     0 19364 42524 73660  9 11 71  9  0  0 2026-09-08 15:07:00
 2  1      0 12942344 568508 914372    0    0     0 19008 41337 71329  9 11 71  9  0  0 2026-09-08 15:07:01
 5  1      0 12938660 569800 916740    0    0     0 19048 41126 70974  9 10 72  9  0  0 2026-09-08 15:07:02
 5  1      0 12934612 570928 919136    0    0     0 19408 42113 73009  8 11 72  9  0  0 2026-09-08 15:07:03
