procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  2      0 12362352 919396 1179960    0    0   640 12360 11218 17858  1  3 89  7  0  0 2026-09-08 15:16:00
 1  1      0 12318468 919632 1180508    0    0     0  9316 10881 16713  6  6 84  5  0  0 2026-09-08 15:16:01
 0  1      0 12237332 919748 1180584    0    0     0  4508 8063 11519 13  5 81  1  0  0 2026-09-08 15:16:02
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  1      0 12281024 919784 1180584    0    0     0  3116 9316 14022 10  7 82  1  0  0 2026-09-08 15:16:03
 0  0      0 12336312 919896 1199688    0    0     4  3020 10239 15570  8  5 86  2  0  0 2026-09-08 15:16:04
 0  1      0 12275836 920012 1201968    0    0     0  2488 15272 22248  1  4 90  4  0  0 2026-09-08 15:16:05
 0  1      0 12273316 920640 1202060    0    0     0  7120 14016 22251  1  4 89  7  0  0 2026-09-08 15:16:06
 0  1      0 12272812 921240 1202236    0    0     0  8088 13977 22074  1  3 88  7  0  0 2026-09-08 15:16:07
 0  1      0 12273552 921788 1202324    0    0     0  8924 13945 22311  1  4 88  8  0  0 2026-09-08 15:16:08
 1  1      0 12276096 922384 1202508    0    0     0  9784 13888 22290  1  4 89  7  0  0 2026-09-08 15:16:09
 0  1      0 12279340 922936 1202776    0    0     0  8700 14426 22682  1  4 88  7  0  0 2026-09-08 15:16:10
 0  1      0 12279432 923532 1202876    0    0     0  8700 14180 22390  1  4 88  7  0  0 2026-09-08 15:16:11
 0  1      0 12279776 924112 1203064    0    0     0  8060 13394 21520  1  4 88  7  0  0 2026-09-08 15:16:12
 0  2      0 12280620 924676 1203224    0    0     0  8124 13382 21334  1  4 88  7  0  0 2026-09-08 15:16:13
 0  2      0 12281568 925236 1203320    0    0     0  7892 14006 22354  1  4 87  7  0  0 2026-09-08 15:16:14
 0  1      0 12282684 925692 1203420    0    0     0  8192 13855 22271  1  3 89  7  0  0 2026-09-08 15:16:15
 0  2      0 12283456 926168 1203504    0    0     0  7400 13744 21710  1  4 88  7  0  0 2026-09-08 15:16:16
 0  2      0 12281740 926676 1203428    0    0     0  8276 13686 21914  1  4 88  7  0  0 2026-09-08 15:16:17
 0  2      0 12281852 927152 1203796    0    0     0  7952 14368 22515  1  4 88  7  0  0 2026-09-08 15:16:18
 0  1      0 12281660 927676 1203976    0    0     0  8004 13900 21938  1  4 88  7  0  0 2026-09-08 15:16:19
 2  0      0 12276724 928016 1204140    0    0     0  7260 21915 38202  2  5 87  5  0  0 2026-09-08 15:16:20
 1  0      0 12272156 928068 1204208    0    0     0  2408 31500 57952  3  9 87  1  0  0 2026-09-08 15:16:21
 1  2      0 12269584 928244 1204292    0    0     0  3996 24583 44210  3  6 89  2  0  0 2026-09-08 15:16:22
 0  0      0 12269916 928388 1204552    0    0     0  7604 5344 7364  0  2 95  3  0  0 2026-09-08 15:16:23
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  3      0 12198884 928996 1234764    0    0     0 10124 34257 58307  5  9 79  7  0  0 2026-09-08 15:16:24
 1  1      0 12182924 929596 1244876    0    0     0 24420 38286 65828  7 11 73  9  0  0 2026-09-08 15:16:25
 0  1      0 12142356 930208 1280104    0    0     0 16820 36653 63055  6 11 75  9  0  0 2026-09-08 15:16:26
 0  1      0 12098788 930816 1314716    0    0     0 16268 36111 62257  6 10 75  9  0  0 2026-09-08 15:16:27
 8  2      0 12096040 931536 1316516    0    0     0 17164 37403 64421  6 10 75  9  0  0 2026-09-08 15:16:28
 1  1      0 12092600 932012 1318036    0    0     0 16384 37588 64926  7 11 74  9  0  0 2026-09-08 15:16:29
 0  2      0 12082112 932564 1327940    0    0     0 24240 37736 65160  7 10 73  9  0  0 2026-09-08 15:16:30
 4  3      0 12072508 933112 1338104    0    0     0 24972 37035 63682  6 10 75  9  0  0 2026-09-08 15:16:31
 3  1      0 12070056 933624 1339492    0    0     0 16676 37779 65275  8 11 73  9  0  0 2026-09-08 15:16:32
 2  1      0 12059900 933952 1350200    0    0     0 25476 37023 63772  8 10 73  9  0  0 2026-09-08 15:16:33
 1  2      0 12057748 934432 1351480    0    0     0 16524 36476 62754  7 10 73  9  0  0 2026-09-08 15:16:34
 1  1      0 12054824 934808 1353716    0    0     0 17768 37939 65468  8 10 73  9  0  0 2026-09-08 15:16:35
 2  3      0 12052540 935216 1355108    0    0     0 16348 37035 63880  7 11 73  9  0  0 2026-09-08 15:16:36
 2  1      0 12051488 935576 1356312    0    0     0 15784 37005 63493  6 12 73  9  0  0 2026-09-08 15:16:37
 0  2      0 12039912 935936 1366952    0    0     0 26264 38282 65981  8 10 73  9  0  0 2026-09-08 15:16:38
 4  1      0 12038008 936292 1369136    0    0     0 15992 35423 60538  8 10 73  9  0  0 2026-09-08 15:16:39
 5  1      0 12028028 936704 1378940    0    0     0 24848 34613 59042  7 11 73  9  0  0 2026-09-08 15:16:40
 3  2      0 12024172 937000 1381208    0    0     0 17672 37685 64958  9 11 71  9  0  0 2026-09-08 15:16:41
 4  1      0 12022572 937280 1382448    0    0     0 15888 36616 63107  7 10 74  9  0  0 2026-09-08 15:16:42
 4  2      0 12018504 937640 1385700    0    0     0 19524 37840 65533  7 11 73  9  0  0 2026-09-08 15:16:43
 5  1      0 12014332 938012 1388788    0    0     0 17284 35993 61657  8 10 73  9  0  0 2026-09-08 15:16:44
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  1      0 12009464 938692 1391116    0    0     0 17952 37345 64499  7 11 73  9  0  0 2026-09-08 15:16:45
 7  1      0 12052724 939364 1343056    0    0     0 17940 36718 63117  8 11 73  9  0  0 2026-09-08 15:16:46
 0  1      0 12050320 939840 1344100    0    0     0 14440 35911 61947  8 11 73  9  0  0 2026-09-08 15:16:47
 0  1      0 12045508 940540 1346156    0    0     0 18000 37158 63746  7 10 73  9  0  0 2026-09-08 15:16:48
 0  2      0 12041836 941200 1349620    0    0     0 19096 36465 62575  7 10 74  9  0  0 2026-09-08 15:16:49
 1  1      0 12040272 941844 1350812    0    0     0 16136 36618 62559  8 10 72  9  0  0 2026-09-08 15:16:50
 0  2      0 12038272 942496 1353084    0    0     0 17440 36571 63181  7 10 74  9  0  0 2026-09-08 15:16:51
 2  2      0 12035504 943084 1354252    0    0     0 16516 36991 63491  8 10 73  9  0  0 2026-09-08 15:16:52
 3  1      0 12032948 943684 1355292    0    0     0 16888 37149 64048  7 11 73  9  0  0 2026-09-08 15:16:53
 2  1      0 12029496 943948 1357676    0    0     0 17232 37602 64895  9 10 72  9  0  0 2026-09-08 15:16:54
 3  1      0 12027124 944212 1359844    0    0     0 17356 36805 63403  7 10 74  9  0  0 2026-09-08 15:16:55
 0  1      0 12024568 944468 1360980    0    0     0 16068 36174 62271  8 10 73  9  0  0 2026-09-08 15:16:56
 2  2      0 12020712 944700 1362152    0    0     0 16564 36375 62273  8 11 73  9  0  0 2026-09-08 15:16:57
 3  1      0 12017332 944912 1364360    0    0     0 17588 36600 62927  8 11 72  9  0  0 2026-09-08 15:16:58
 0  2      0 12014208 945184 1366456    0    0     0 17608 36427 62589  7 10 74  9  0  0 2026-09-08 15:16:59
 3  1      0 12011424 945420 1367660    0    0    16 16376 36334 62072  9 11 71  9  0  0 2026-09-08 15:17:00
 1  1      0 12010168 945612 1368848    0    0     0 15912 36172 61808  8 11 72  9  0  0 2026-09-08 15:17:01
 1  2      0 12006352 945920 1370368    0    0   476 16588 36520 62634  7 10 73  9  0  0 2026-09-08 15:17:02
 0  1      0 12003176 946072 1372704    0    0     0 18368 37104 63834  8 10 72  9  0  0 2026-09-08 15:17:03
 2  1      0 11999948 946324 1374924    0    0     0 17268 36094 61964  7 10 74  9  0  0 2026-09-08 15:17:04
 1  3      0 11996212 946456 1376880    0    0     0 17648 36583 62809  7 10 74  9  0  0 2026-09-08 15:17:05
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  2      0 11991160 946628 1379324    0    0     0 17724 36245 62226  7 10 74  9  0  0 2026-09-08 15:17:06
 0  1      0 11988312 946772 1380492    0    0     0 16636 37557 64419  7 10 73  9  0  0 2026-09-08 15:17:07
 1  2      0 11985036 946992 1382472    0    0     0 17480 37143 64079  8 10 73  9  0  0 2026-09-08 15:17:08
 3  1      0 11981240 947140 1385852    0    0     0 19132 36537 62743  7 11 73  9  0  0 2026-09-08 15:17:09
 1  2      0 11977164 947328 1388124    0    0     0 18308 37631 64667  8 10 73  9  0  0 2026-09-08 15:17:10
 3  2      0 11971956 947520 1390304    0    0     0 18068 36869 63841  7 10 74  9  0  0 2026-09-08 15:17:11
 3  1      0 11970728 947652 1391444    0    0     0 16832 35781 61323  7 10 74  9  0  0 2026-09-08 15:17:12
 1  1      0 11972832 947828 1392500    0    0     0 17628 37400 64354  7 10 74  9  0  0 2026-09-08 15:17:13
 0  1      0 11976232 947992 1393736    0    0     0 16740 36433 61963  9 11 71  9  0  0 2026-09-08 15:17:14
 0  2      0 12056536 948100 1395992    0    0     0 18160 36473 62127  9 11 71  9  0  0 2026-09-08 15:17:15
 0  3      0 12050776 948272 1399352    0    0     0 19636 36976 63621  7 10 74  9  0  0 2026-09-08 15:17:16
 0  1      0 12049756 948456 1400420    0    0     0 17356 37044 63468  8 11 72  9  0  0 2026-09-08 15:17:17
 0  1      0 12048168 948648 1401596    0    0     0 17660 36945 63577  8 10 73  9  0  0 2026-09-08 15:17:18
 0  1      0 12046412 948832 1402800    0    0     0 17996 38439 66067  7 11 73  9  0  0 2026-09-08 15:17:19
 1  3      0 12044124 948948 1405000    0    0     0 18144 38052 65601  9 10 72  9  0  0 2026-09-08 15:17:20
 3  1      0 12041944 949028 1407260    0    0     0 17848 36151 61940  8 10 73  9  0  0 2026-09-08 15:17:21
 2  1      0 12036820 949236 1412592    0    0     0 21428 36948 63208  8 10 73  9  0  0 2026-09-08 15:17:22
 0  1      0 12035852 949428 1413736    0    0     0 17056 35732 61477  8 10 73  9  0  0 2026-09-08 15:17:23
 0  1      0 12035172 949688 1414832    0    0     0 17672 37106 63978  8 10 73  9  0  0 2026-09-08 15:17:24
 1  2      0 12034116 949960 1416000    0    0     0 16896 36253 62076  8 10 74  9  0  0 2026-09-08 15:17:25
 0  1      0 12031868 950196 1418248    0    0     0 17932 37296 64134  8 10 72  9  0  0 2026-09-08 15:17:26
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  1      0 12030492 950364 1419412    0    0     0 17064 36455 62403  8 11 72  9  0  0 2026-09-08 15:17:27
 2  2      0 12029628 950632 1420556    0    0     0 17128 36741 62922  9 11 71  9  0  0 2026-09-08 15:17:28
 1  2      0 12028804 950880 1421752    0    0     0 16688 36534 62747  8 10 72  9  0  0 2026-09-08 15:17:29
 2  2      0 12026112 951196 1423944    0    0     0 18204 36537 62739  7 10 73  9  0  0 2026-09-08 15:17:30
 1  0      0 12024048 951372 1426092    0    0     0 17752 36928 63124 10 11 70  9  0  0 2026-09-08 15:17:31
 0  1      0 12022716 951620 1427316    0    0     0 17964 37323 63911  8 10 73  9  0  0 2026-09-08 15:17:32
 1  1      0 12020696 951820 1428324    0    0     0 17420 36913 63454  9 11 71  9  0  0 2026-09-08 15:17:33
 0  1      0 12018980 952028 1430680    0    0     0 18568 37142 63580  9 10 72  9  0  0 2026-09-08 15:17:34
 0  2      0 12017020 952280 1431820    0    0     0 17288 36623 62639  8  9 73  9  0  0 2026-09-08 15:17:35
 1  1      0 12013556 952484 1434056    0    0     0 18248 37075 63905  7 10 74  9  0  0 2026-09-08 15:17:36
 3  2      0 12011576 952700 1435132    0    0     0 17688 38907 67245  9 11 71  9  0  0 2026-09-08 15:17:37
 0  1      0 11999132 952916 1447028    0    0     0 27812 37228 64012  8 11 72  9  0  0 2026-09-08 15:17:38
 0  1      0 11997580 953128 1448184    0    0     0 17204 37363 64259  9  9 72  9  0  0 2026-09-08 15:17:39
 1  1      0 11996200 953444 1449240    0    0     0 17208 36873 62996  8 11 72  9  0  0 2026-09-08 15:17:40
 1  1      0 11993556 953720 1451532    0    0     0 18808 37802 64903  8 10 72  9  0  0 2026-09-08 15:17:41
 3  2      0 11992840 953988 1452660    0    0     0 17528 36590 62627  8 11 72  9  0  0 2026-09-08 15:17:42
 1  3      0 11991084 954232 1453860    0    0     0 17496 36734 62907  7 10 73 10  0  0 2026-09-08 15:17:43
 4  1      0 11991036 954500 1455012    0    0     0 17544 37192 63803  9 10 72  9  0  0 2026-09-08 15:17:44
 3  3      0 11989144 954772 1456024    0    0     0 17624 37574 64636  9 11 71  9  0  0 2026-09-08 15:17:45
 2  2      0 11986168 955008 1457252    0    0     0 17492 37169 63679  8 11 72  9  0  0 2026-09-08 15:17:46
 1  2      0 11983956 955252 1459456    0    0     0 18936 37970 65112 10 11 70  9  0  0 2026-09-08 15:17:47
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  1      0 11981900 955544 1461704    0    0     4 18504 37460 63894  9 11 71  9  0  0 2026-09-08 15:17:48
 0  2      0 11979312 955856 1462852    0    0     0 18080 37467 64512  8 10 73  9  0  0 2026-09-08 15:17:49
 2  2      0 11976680 956080 1465032    0    0     0 18960 37608 64940  9 11 71  9  0  0 2026-09-08 15:17:50
 0  2      0 11971864 956396 1469212    0    0     0 20604 37330 63950  8 10 72  9  0  0 2026-09-08 15:17:51
 0  1      0 11971132 956648 1470344    0    0     0 16648 36254 62025  9 10 72  9  0  0 2026-09-08 15:17:52
 1  2      0 11968272 956952 1472616    0    0     0 19328 38061 65364  9 12 70  9  0  0 2026-09-08 15:17:53
 0  1      0 11966408 957236 1473744    0    0     0 18044 37842 65046  9 11 71  9  0  0 2026-09-08 15:17:54
 4  1      0 11963392 957620 1474936    0    0     0 17888 38028 65192  9 10 71  9  0  0 2026-09-08 15:17:55
 2  1      0 11960780 957892 1477032    0    0     0 18336 36898 63202  9 10 72  9  0  0 2026-09-08 15:17:56
 2  2      0 11959944 958240 1478224    0    0     0 17320 37135 63484 11 13 67  9  0  0 2026-09-08 15:17:57
 0  1      0 11958852 958572 1479404    0    0     0 16984 36686 62721  9 10 71  9  0  0 2026-09-08 15:17:58
 0  1      0 11958168 958900 1480572    0    0     0 18464 38235 65437  9 11 71  9  0  0 2026-09-08 15:17:59
 1  1      0 11948244 959244 1483844    0    0     0 20224 38066 65538 10 10 70  9  0  0 2026-09-08 15:18:00
 2  1      0 11946244 959520 1485972    0    0     0 18360 36590 62507  8 11 72  9  0  0 2026-09-08 15:18:01
 1  1      0 11943636 959844 1487160    0    0     0 17520 36739 63031  8 11 72  9  0  0 2026-09-08 15:18:02
 4  1      0 11943216 960168 1489308    0    0     0 19344 36822 63402  8 11 72  9  0  0 2026-09-08 15:18:03
 1  2      0 11942312 960508 1490484    0    0     0 17088 35588 60992  9 10 73  9  0  0 2026-09-08 15:18:04
 2  2      0 11940032 960884 1491624    0    0     0 18892 37359 64419  9 11 71  9  0  0 2026-09-08 15:18:05
 1  1      0 11936812 961240 1493692    0    0     0 18880 37616 64601  8 11 72  9  0  0 2026-09-08 15:18:06
 4  2      0 11933720 961544 1495860    0    0     0 19116 37313 64037  8 10 72  9  0  0 2026-09-08 15:18:07
 3  1      0 11932812 961900 1497164    0    0     0 16792 37183 63585  9 10 71  9  0  0 2026-09-08 15:18:08
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  1      0 11927488 962260 1500448    0    0     0 19884 37811 64866  9 11 71  9  0  0 2026-09-08 15:18:09
 0  3      0 11926712 962556 1502592    0    0     0 18900 36602 62631  9 10 72  9  0  0 2026-09-08 15:18:10
 0  2      0 11922936 962852 1503780    0    0     0 18304 37415 64281  8 11 72  9  0  0 2026-09-08 15:18:11
 3  2      0 11921340 963224 1505972    0    0     0 18096 36552 62410 11 11 69  9  0  0 2026-09-08 15:18:12
 1  2      0 11921040 963608 1507128    0    0     0 18708 37366 63864  9 11 71  9  0  0 2026-09-08 15:18:13
 0  1      0 11918516 963932 1509276    0    0     0 19224 37413 64362  8 11 71 10  0  0 2026-09-08 15:18:14
 3  1      0 11916648 964316 1510464    0    0     0 17768 37371 63985  9 11 71  9  0  0 2026-09-08 15:18:15
 1  2      0 11914932 964672 1511612    0    0     0 18092 37567 64721  8 10 73  9  0  0 2026-09-08 15:18:16
 0  1      0 11910556 964980 1515776    0    0     0 21468 36658 62832  8 10 72  9  0  0 2026-09-08 15:18:17
 0  1      0 11908828 965384 1517044    0    0     0 18016 37320 63888  8 10 72  9  0  0 2026-09-08 15:18:18
 0  4      0 11905456 965736 1518160    0    0     0 17220 36316 62278  9 10 72  9  0  0 2026-09-08 15:18:19
 4  0      0 11904448 966068 1519260    0    0     0 17420 36830 63011  9 11 70  9  0  0 2026-09-08 15:18:20
 0  1      0 11901108 966396 1521500    0    0     0 19492 38015 64908 10 11 70  9  0  0 2026-09-08 15:18:21
 0  1      0 11899648 966748 1522656    0    0     0 18268 36693 62836  9 11 71  9  0  0 2026-09-08 15:18:22
 4  1      0 11895384 967124 1525928    0    0     0 19712 37227 63992  9 11 71  9  0  0 2026-09-08 15:18:23
 1  0      0 11989972 967292 1496668    0    0     0 13128 12169 18806  5  5 85  5  0  0 2026-09-08 15:18:24
 2  0      0 11882648 967384 1496732    0    0     0  7264 11620 17467 12  8 77  3  0  0 2026-09-08 15:18:25
 1  1      0 11952940 967472 1496728    0    0     0  6772 7810 11114  8  4 85  3  0  0 2026-09-08 15:18:26
 1  0      0 11956836 967580 1496768    0    0     0  8272 34401 63475  4  8 85  3  0  0 2026-09-08 15:18:27
 1  1      0 11960384 967660 1496772    0    0     0  5520 33663 62271  4  7 87  2  0  0 2026-09-08 15:18:28
 1  1      0 11955344 967804 1508000    0    0     0  8940 9598 14762  1  3 91  4  0  0 2026-09-08 15:18:29
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 11905276 968124 1530396    0    0     0 15976 35206 60016  7 10 76  8  0  0 2026-09-08 15:18:30
 3  2      0 11898624 968496 1532536    0    0     0 16700 37845 65707  7 10 74  9  0  0 2026-09-08 15:18:31
 1  1      0 11894032 968828 1533712    0    0     0 17988 37980 65645  7 10 74  9  0  0 2026-09-08 15:18:32
 0  2      0 11891788 969120 1537024    0    0     0 20440 37346 64074  7 11 73  9  0  0 2026-09-08 15:18:33
 0  3      0 11887908 969448 1538160    0    0     0 18668 37687 64833  8 10 73  9  0  0 2026-09-08 15:18:34
 0  3      0 11885696 969868 1539312    0    0     0 18776 36460 62723  7  9 74  9  0  0 2026-09-08 15:18:35
 0  1      0 11886008 970164 1540468    0    0     0 18044 37076 63811  7 11 74  9  0  0 2026-09-08 15:18:36
 1  1      0 11885192 970488 1541584    0    0     0 18468 36696 62907  6  9 75 10  0  0 2026-09-08 15:18:37
 0  2      0 11882540 970916 1542732    0    0     0 18092 36836 63542  7 10 73  9  0  0 2026-09-08 15:18:38
 0  1      0 11881540 971336 1543908    0    0     0 18576 38099 65722  7 11 73  9  0  0 2026-09-08 15:18:39
 4  0      0 11879332 971832 1545876    0    0     4 19212 37290 63891  8 12 72  9  0  0 2026-09-08 15:18:40
 3  2      0 11877456 972196 1548272    0    0     0 18628 36302 62450  7 10 74  9  0  0 2026-09-08 15:18:41
 0  3      0 11876908 972496 1549424    0    0     0 17332 36891 63145  8 11 71  9  0  0 2026-09-08 15:18:42
 0  2      0 11875612 972948 1550456    0    0     0 18704 37468 64564  8 10 73  9  0  0 2026-09-08 15:18:43
 1  3      0 11871004 973336 1552772    0    0     0 19368 37171 63993  7 11 72  9  0  0 2026-09-08 15:18:44
 3  1      0 11864000 973732 1554944    0    0     0 18448 35995 61823  7 10 74  9  0  0 2026-09-08 15:18:45
 1  2      0 11862900 974140 1556004    0    0     0 18196 37134 64075  8 10 73 10  0  0 2026-09-08 15:18:46
 1  2      0 11859424 974512 1559284    0    0     0 19796 36796 62842  8 12 71  9  0  0 2026-09-08 15:18:47
 0  1      0 11860384 974924 1560496    0    0     0 19264 37733 65094  7  9 74 10  0  0 2026-09-08 15:18:48
 2  2      0 11858156 975328 1561672    0    0     0 17700 36101 61930  7 10 74  9  0  0 2026-09-08 15:18:49
 0  2      0 11855504 975688 1563888    0    0     0 19648 36994 63434  9 11 71  9  0  0 2026-09-08 15:18:50
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  2      0 11853028 976044 1566080    0    0     0 20476 37075 63746  9 11 72  9  0  0 2026-09-08 15:18:51
 3  1      0 11850956 976428 1568076    0    0     0 18064 31220 52881  8  9 74  9  0  0 2026-09-08 15:18:52
 3  2      0 11847676 976748 1571332    0    0     0 20456 38473 66176  9 12 70  9  0  0 2026-09-08 15:18:53
 5  1      0 11842144 977100 1574700    0    0     0 20704 38150 65253 10 12 69  9  0  0 2026-09-08 15:18:54
 0  1      0 11840476 977444 1575884    0    0     0 18816 38552 66285 10 11 70  9  0  0 2026-09-08 15:18:55
 0  2      0 11839800 977704 1577056    0    0     0 18512 37059 63460  9 10 71  9  0  0 2026-09-08 15:18:56
 0  2      0 11838160 977988 1578196    0    0     0 17824 36430 62281  9 10 71  9  0  0 2026-09-08 15:18:57
 3  2      0 11837532 978232 1579240    0    0     0 17916 36343 62461  8 10 72 10  0  0 2026-09-08 15:18:58
 0  2      0 11833024 978496 1582568    0    0     0 21204 36944 63615  9 10 72  9  0  0 2026-09-08 15:18:59
 4  1      0 11830660 978764 1584696    0    0     0 19292 36636 62850  9 10 72  9  0  0 2026-09-08 15:19:00
 0  2      0 11829524 978996 1585752    0    0     0 18532 36776 63189  8 11 71 10  0  0 2026-09-08 15:19:01
 1  3      0 11827168 979144 1587044    0    0     0 18564 37190 63709 10 11 69  9  0  0 2026-09-08 15:19:02
 5  1      0 11826168 979376 1588188    0    0     0 17956 36853 63117 10 10 71  9  0  0 2026-09-08 15:19:03
 1  1      0 11824100 979576 1589360    0    0     0 18196 37049 63555 10 11 70  9  0  0 2026-09-08 15:19:04
 1  3      0 11821836 979820 1591548    0    0     0 19008 37084 63768 10 11 70  9  0  0 2026-09-08 15:19:05
 3  3      0 11818076 980024 1593760    0    0     0 19664 37359 64404  9 11 71  9  0  0 2026-09-08 15:19:06
 0  1      0 11817420 980272 1594916    0    0     0 18432 36721 62885  9 10 71 10  0  0 2026-09-08 15:19:07
 1  3      0 11816724 980604 1596056    0    0     0 18128 37285 63878 10 12 70  9  0  0 2026-09-08 15:19:08
 0  1      0 11813336 981028 1598228    0    0     0 19340 36498 62482  9 11 70  9  0  0 2026-09-08 15:19:09
 0  1      0 11811128 981376 1600404    0    0     0 20116 38006 65792  9 11 70  9  0  0 2026-09-08 15:19:10
 0  3      0 11808680 981764 1601564    0    0     0 18432 36085 61853  9 10 72  9  0  0 2026-09-08 15:19:11
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  2      0 11807280 982136 1602640    0    0     0 18068 37745 64935  9 12 70  9  0  0 2026-09-08 15:19:12
 3  1      0 11804984 982432 1604624    0    0     0 19964 36927 63409  9 10 72  9  0  0 2026-09-08 15:19:13
 0  2      0 11803328 982832 1606052    0    0     0 18960 37217 63772 10 10 71  9  0  0 2026-09-08 15:19:14
 1  3      0 11800236 983144 1608276    0    0     0 19012 36596 62752 10 10 70  9  0  0 2026-09-08 15:19:15
 0  4      0 11798248 983404 1609368    0    0     0 18308 36255 61807  9 11 70  9  0  0 2026-09-08 15:19:16
 5  2      0 11797256 983684 1610488    0    0     0 19692 36784 63208  9 10 71  9  0  0 2026-09-08 15:19:17
 2  2      0 11795860 983952 1611720    0    0     0 19236 37307 63930  8 10 72  9  0  0 2026-09-08 15:19:18
 1  0      0 11794544 984236 1612880    0    0     0 18244 36442 62541  8 11 72  9  0  0 2026-09-08 15:19:19
 0  2      0 11792628 984456 1615072    0    0     0 20180 37466 64267  9 10 71  9  0  0 2026-09-08 15:19:20
 1  3      0 11782628 984728 1624604    0    0     0 27188 36531 62549 10 10 71  9  0  0 2026-09-08 15:19:21
 4  2      0 11780832 984960 1625764    0    0     0 18684 37387 64341 10 11 70  9  0  0 2026-09-08 15:19:22
 7  1      0 11778728 985168 1626920    0    0     0 18132 37380 64329 10 11 70  9  0  0 2026-09-08 15:19:23
 6  1      0 11778152 985416 1628044    0    0     0 18504 35934 61247  9 11 71  9  0  0 2026-09-08 15:19:24
 1  1      0 11777612 985684 1629220    0    0     0 19492 38580 66599 10 11 70  9  0  0 2026-09-08 15:19:25
 0  1      0 11776980 985904 1630180    0    0     0 18864 36111 61972  9 10 71  9  0  0 2026-09-08 15:19:26
 2  1      0 11774576 986144 1631452    0    0     0 18544 37398 64320  9 10 71 10  0  0 2026-09-08 15:19:27
 0  1      0 11772428 986412 1633640    0    0     0 19588 37025 63575  9 11 71  9  0  0 2026-09-08 15:19:28
 1  1      0 11769928 986784 1634832    0    0     0 19248 36849 63218  9 10 71 10  0  0 2026-09-08 15:19:29
 3  1      0 11767800 987108 1635972    0    0     0 17740 35989 61571 11 10 70  9  0  0 2026-09-08 15:19:30
 0  2      0 11764308 987428 1638208    0    0     4 20632 37733 64777  9 11 71  9  0  0 2026-09-08 15:19:31
 0  1      0 11762616 987760 1639120    0    0     0 18904 37045 63659 10 11 69  9  0  0 2026-09-08 15:19:32
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 5  1      0 11761200 988092 1640448    0    0     0 17180 37689 64985 11 12 67  9  0  0 2026-09-08 15:19:33
 5  1      0 11759824 988376 1642552    0    0     0 18792 38107 65728 14 11 67  9  0  0 2026-09-08 15:19:34
 2  2      0 11758540 988684 1643660    0    0     0 17772 36410 62823 11 10 70  9  0  0 2026-09-08 15:19:35
 1  2      0 11755276 988992 1644832    0    0     0 20144 39116 67342 12 11 68  9  0  0 2026-09-08 15:19:36
 1  1      0 11752436 989372 1645856    0    0     0 17828 38696 66860 11 11 69  9  0  0 2026-09-08 15:19:37
 1  2      0 11750892 989520 1647180    0    0     0 17456 38428 66387 12 10 68  9  0  0 2026-09-08 15:19:38
 0  2      0 11747196 989648 1651540    0    0     0 21544 37460 64362 10 10 70  9  0  0 2026-09-08 15:19:39
 0  3      0 11745416 989780 1652760    0    0     0 18476 37162 63806 10 10 71  9  0  0 2026-09-08 15:19:40
 0  2      0 11744948 989924 1653952    0    0     0 17692 36846 63389 10 11 70  9  0  0 2026-09-08 15:19:41
 1  2      0 11739800 990056 1659316    0    0     0 22856 37004 63441  9 11 70  9  0  0 2026-09-08 15:19:42
